P0850;Park / Neutral Switch Input Circuit
P0851;Park / Neutral Switch Input Circuit Low
P0852;Park / Neutral Switch Input Circuit High
P0853;Drive Switch Input Circuit
P0854;Drive Switch Input Circuit Low
P0855;Drive Switch Input Circuit High
P0856;Traction Control Input Signal
P0857;Traction Control Input Signal Range/Performance
P0858;Traction Control Input Signal Low
P0859;Traction Control Input Signal High
P0860;Gear Shift Module Communication Circuit
P0861;Gear Shift Module Communication Circuit Low
P0862;Gear Shift Module Communication Circuit High
P0863;TCM Communication Circuit
P0864;TCM Communication Circuit Range/Performance
P0865;TCM Communication Circuit Low
P0866;TCM Communication Circuit High
P0867;Transmission Fluid Pressure
P0868;Transmission Fluid Pressure Low
P0869;Transmission Fluid Pressure High
P0870;Transmission Fluid Pressure Sensor/Switch C Circuit
P0871;Transmission Fluid Pressure Sensor/Switch C Circuit Range/Performance
P0872;Transmission Fluid Pressure Sensor/Switch C Circuit Low
P0873;Transmission Fluid Pressure Sensor/Switch C Circuit High
P0874;Transmission Fluid Pressure Sensor/Switch C Circuit Intermittent
P0875;Transmission Fluid Pressure Sensor/Switch D Circuit
P0876;Transmission Fluid Pressure Sensor/Switch D Circuit Range/Performance
P0877;Transmission Fluid Pressure Sensor/Switch D Circuit Low
P0878;Transmission Fluid Pressure Sensor/Switch D Circuit High
P0879;Transmission Fluid Pressure Sensor/Switch D Circuit Intermittent
P0880;TCM Power Input Signal
P0881;TCM Power Input Signal Range/Performance
P0882;TCM Power Input Signal Low
P0883;TCM Power Input Signal High
P0884;TCM Power Input Signal Intermittent
P0885;TCM Power Relay Control Circuit /Open
P0886;TCM Power Relay Control Circuit Low
P0887;TCM Power Relay Control Circuit High
P0888;TCM Power Relay Sense Circuit
P0889;TCM Power Relay Sense Circuit Range/Performance
P0890;TCM Power Relay Sense Circuit Low
P0891;TCM Power Relay Sense Circuit High
P0892;TCM Power Relay Sense Circuit Intermittent
P0893;Multiple Gears Engaged
P0894;Transmission Component Slipping
P0895;Shift Time Too Short
P0896;Shift Time Too Long
P0897;Transmission Fluid Deteriorated
P0898;Transmission Control System MIL Request Circuit Low
P0899;Transmission Control System MIL Request Circuit High
P0900;Clutch Actuator Circuit / Open
P0901;Clutch Actuator Circuit Range/Performance
P0902;Clutch Actuator Circuit Low
P0903;Clutch Actuator Circuit High
P0904;Gate Select Position Circuit [senses left / right position]
P0905;Gate Select Position Circuit Range/Performance
P0906;Gate Select Position Circuit Low
P0907;Gate Select Position Circuit High
P0908;Gate Select Position Circuit Intermittent
P0909;Gate Select Control Error
P0910;Gate Select Actuator Circuit / Open [left / right motion]
P0911;Gate Select Actuator Circuit Range/Performance
P0912;Gate Select Actuator Circuit Low
P0913;Gate Select Actuator Circuit High
P0914;Gear Shift Position Circuit [senses forward / rearward position, odd / even gears]
P0915;Gear Shift Position Circuit Range/Performance
P0916;Gear Shift Position Circuit Low
P0917;Gear Shift Position Circuit High
P0918;Gear Shift Position Circuit Intermittent
P0919;Gear Shift Position Control Error
P0920;Gear Shift Forward Actuator Circuit / Open [forward motion, odd gears, 1,3,5]
P0921;Gear Shift Foward Actuator Circuit Range/Performance
P0922;Gear Shift Foward Actuator Circuit Low
P0923;Gear Shift Foward Actuator Circuit High
P0924;Gear Shift Reverse Actuator Circuit / Open [rearward motion, even gears, 2,4,6]
P0925;Gear Shift Reverse Actuator Circuit Range/Performance
P0926;Gear Shift Reverse Actuator Circuit Low
P0927;Gear Shift Reverse Actuator Circuit High
P0928;Gear Shift Lock Solenoid Circuit / Open
P0929;Gear Shift Lock Solenoid Circuit Range/Performance
P0930;Gear Shift Lock Solenoid Circuit Low
P0931;Gear Shift Lock Solenoid Circuit High
P0932;Hydraulic Pressure Sensor Circuit
P0933;Hydraulic Pressure Sensor Range/Performance
P0934;Hydraulic Pressure Sensor Circuit Low Input
P0935;Hydraulic Pressure Sensor Circuit High Input
P0936;Hydraulic Pressure Sensor Circuit Intermittent
P0937;Hydraulic Oil Temperature Sensor Circuit
P0938;Hydraulic Oil Temperature Sensor Range/Performance
P0939;Hydraulic Oil Temperature Sensor Circuit Low Input
P0940;Hydraulic Oil Temperature Sensor Circuit High Input
P0941;Hydraulic Oil Temperature Sensor Circuit Intermittent
P0942;Hydraulic Pressure Unit
P0943;Hydraulic Pressure Unit Cycling Period Too Short
P0944;Hydraulic Pressure Unit Loss of Pressure
P0945;Hydraulic Pump Relay Circuit / Open
P0946;Hydraulic Pump Relay Circuit Range/Performance
P0947;Hydraulic Pump Relay Circuit Low
P0948;Hydraulic Pump Relay Circuit High
P0949;ASM Adaptive Learning Not Done
P0950;ASM Control Circuit [Up / Down / Auto / etc]
P0951;ASM Control Circuit Range/Performance
P0952;ASM Control Circuit Low
P0953;ASM Control Circuit High
P0954;ASM Control Circuit Intermittent
P0955;ASM Mode Circuit [Perf / Winter / Sport / etc]
P0956;ASM Mode Circuit Range/Performance
P0957;ASM Mode Circuit Low
P0958;ASM Mode Circuit High
P0959;ASM Mode Circuit Intermittent
P0960;Pressure Control Solenoid A Control Circuit / Open
P0961;Pressure Control Solenoid A Control Circuit Range/Performance
P0962;Pressure Control Solenoid A Control Circuit Low
P0963;Pressure Control Solenoid A Control Circuit High
P0964;Pressure Control Solenoid B Control Circuit / Open
P0965;Pressure Control Solenoid B Control Circuit Range/Performance
P0966;Pressure Control Solenoid B Control Circuit Low
